name,predicted_class,p_ratio,wp_ratio
h_3sp9_h_enri_9_44401_P_1,h,13.061,0.0
h_2gtk_h_povme_10_P_1,h,12.6799,0.0
h_2gtk_h_rmsd_6_P_1,h,12.6799,0.0
h_2gtk_h_povme_5_P_1,h,10.1653,0.0
l_2p54_rmsd_6_P_1,h,7.3782,0.0
l_2p54_res_10_P_1,h,3.5793,0.0005
l_2p54_res_1_P_1,h,3.4169,0.0004
l_2gtk_res_2_P_1,h,3.3346,0.0
l_2p54_res_2_P_1,h,3.1378,0.0004
l_3sp9_enri_48241_P_1,h,3.0196,0.0
