name,predicted_class,p_ratio,wp_ratio
3l3x_unres_36401_P_1,h,1.0888,0.0023
3l3x_unres_8861_P_1,l,0.9814,0.0017
3l3x_unres_34921_P_1,h,1.0507,0.0014
3l3x_unres_35041_P_1,h,1.0878,0.0013
3l3x_unres_35061_P_1,l,0.9964,0.0012
3l3x_unres_6401_P_1,l,0.8579,0.0012
3l3x_unres_2281_P_1,l,0.7549,0.0011
3l3x_unres_13701_P_1,l,0.6445,0.001
3l3x_unres_33181_P_1,l,0.8227,0.001
3l3x_unres_46381_P_1,l,0.849,0.001
