name,predicted_class,p_ratio,wp_ratio
l_2p54_res_1_P_1,h,13.4047,0.0015
l_2p54_res_10_P_1,h,13.3402,0.0016
h_3sp9_h_enri_2_21321_P_1,h,13.3078,0.0026
h_2p54_h_rmsd_1_P_1,h,12.7159,0.001
h_2gtk_h_enri_5_34241_P_1,h,12.6577,0.001
l_2p54_unres_37261_P_1,h,12.6342,0.0014
l_2p54_res_3_P_1,h,12.5962,0.0031
l_2gtk_res_2_P_1,h,12.377,0.0
h_2p54_h_unres_1_7781_P_1,h,12.2965,0.0012
l_2p54_unres_3_P_1,h,12.2282,0.0016
