name,predicted_class,p_ratio 
h_1sj0_povme_7_P_1,h,9.2737
h_1sj0_unres_5_P_1,h,8.5155
h_1sj0_povme_9_P_1,h,7.8676
h_1sj0_res_4_P_1,h,7.8514
l_2p54_unres_centroid_1_P_1,h,7.6005
l_3bqd_unres_centroid_5_P_1,h,7.0457
l_2p54_res_centroid_6_P_1,h,7.0455
h_2p54_rmsd_1_P_1,h,7.0353
l_1sj0_res_centroid_5_P_1,h,6.8415
h_1sj0_rmsd_4_P_1,h,6.6962
