name,predicted_class,p_ratio,wp_ratio
3l3x_unres_3801_P_1,h,1.5021,0.0002
3l3x_unres_19401_P_1,h,1.4401,0.0
3l3x_unres_11961_P_1,h,1.3147,0.0001
3l3x_unres_36521_P_1,h,1.264,0.0006
3l3x_unres_23501_P_1,h,1.2456,0.0001
3l3x_unres_37641_P_1,h,1.2361,0.0004
3l3x_unres_12201_P_1,h,1.232,0.0007
3l3x_unres_33861_P_1,h,1.2275,0.0009
3l3x_unres_15981_P_1,h,1.21,0.0001
3l3x_unres_19721_P_1,h,1.1366,0.0001
