name,predicted_class,p_ratio,wp_ratio
3l3x_unres_36401_P_1,h,7.3866,0.0276
3l3x_unres_8861_P_1,h,6.7911,0.0208
3l3x_unres_34921_P_1,h,7.0372,0.0155
3l3x_unres_6401_P_1,h,6.0548,0.015
3l3x_unres_35041_P_1,h,7.0169,0.0138
3l3x_unres_2281_P_1,h,5.2863,0.0135
3l3x_unres_35061_P_1,h,6.3628,0.0128
3l3x_unres_13701_P_1,h,4.4377,0.0123
3l3x_unres_33181_P_1,h,5.741,0.0121
3l3x_unres_34381_P_1,h,5.5632,0.0116
