name,predicted_class,p_ratio,wp_ratio
h_3l3x_h_enri_7_36401_P_1,h,11.2965,0.0158
h_3sp9_h_enri_6_28161_P_1,h,12.6031,0.0138
h_2gtk_h_unres_2_P_1,h,10.6054,0.0132
h_3sp9_h_res_6_P_1,h,9.1978,0.0112
l_2gtk_enri_37721_P_1,h,17.1388,0.0095
h_3sp9_h_unres_5_P_1,h,14.0921,0.0094
h_3sp9_h_rmsd_7_P_1,h,9.6329,0.0093
l_2p54_unres_36861_P_1,h,16.1928,0.0093
h_3sp9_h_povme_1238_P_1,h,7.2933,0.0092
h_3sp9_h_res_3_P_1,h,13.9267,0.009
