name,predicted_class,p_ratio,wp_ratio
l_2p54_res_1_P_1,h,20.9389,0.0024
h_2p54_h_rmsd_1_P_1,h,20.5764,0.0019
l_2p54_res_10_P_1,h,20.5436,0.0026
h_3sp9_h_enri_2_21321_P_1,h,20.5322,0.0042
l_2gtk_res_2_P_1,h,20.3105,0.0001
h_2gtk_h_enri_5_34241_P_1,h,20.098,0.0018
h_2p54_h_unres_1_7781_P_1,h,20.0918,0.0022
l_2gtk_res_10_P_1,h,19.6885,0.0005
l_2p54_res_3_P_1,h,19.6648,0.0052
l_2p54_unres_3_P_1,h,19.5746,0.0028
